batch_id,batch_date,shift,product_type,product_category,supplier_id,quantity_produced_kg,storage_temperature_celsius,humidity_percent,co2_concentration_ppm,light_exposure_lux,storage_duration_hours,cold_chain_maintained,storage_zone,processing_duration_hours,processing_delay_hours,processing_stages_completed,equipment_used,demand_forecast_kg,inventory_level_kg,delivery_time_days,transport_cost_per_ton_inr,supplier_reliability_score,supply_chain_disruption,extreme_weather_event,order_fulfillment_status,quality_score_percent,composite_risk_score,actual_wastage_kg,wastage_percent,wastage_cost_inr,spoilage_class,wastage_risk_category,recommended_corrective_action
BATCH-00636,2022-09-27,Afternoon,Leafy Greens,Vegetables,SUP-008,944.35,15.66,50.77,626.2,55.1,26.1,No,Zone-D,9.58,0.16,2,Sorter-X,1146.85,1484.47,5.12,6860.38,52.35,0,0,Fulfilled,79.15,1,122.86,13.01,1842.9,Good,Medium,Restore Cold Chain Immediately
BATCH-00637,2023-01-12,Afternoon,Banana,Fruits,SUP-009,676.24,13.27,48.08,667.4,284.5,36.5,Yes,Zone-C,5.24,0.93,4,Washer-1,617.93,1624.99,0.83,4461.83,79.72,1,0,Fulfilled,55.98,3,92.04,13.61,1840.8,Good,Medium,Activate Backup Supplier
BATCH-00638,2022-02-16,Afternoon,Pineapple,Fruits,SUP-016,1461.55,16.72,65.14,1363.2,136.7,94.5,Yes,Zone-D,3.41,0.73,2,Washer-1,2835.07,1089.28,6.02,4937.34,88.73,0,0,Fulfilled,88.39,1,209.59,14.34,9431.55,Good,Medium,Reduce Storage Temperature
BATCH-00639,2022-07-21,Afternoon,Lemon,Citrus,SUP-019,781.46,10.2,52.38,1472.2,307.9,55.2,Yes,Zone-C,9.89,0.34,4,Washer-1,,1007.47,3.59,6137.13,80.05,0,0,Fulfilled,92.93,3,62.99,8.06,1889.7,Good,Low,Monitor & Maintain
BATCH-00640,2023-10-23,Morning,Leafy Greens,Vegetables,SUP-016,608.81,16.4,60.57,991.7,109.0,48.7,Yes,Zone-C,8.84,1.45,4,Packer-Z,656.83,1350.97,7.89,3050.13,91.33,0,0,Delayed,61.26,0,92.66,15.22,1389.9,Bad,Medium,Reduce Storage Temperature
BATCH-00641,2020-05-27,Night,Tomato,Vegetables,SUP-007,921.24,13.66,,828.4,386.1,49.0,Yes,Zone-C,7.08,7.03,5,Conveyor-B,2819.17,2102.39,4.96,6442.17,63.26,0,1,Partial,94.45,1,130.26,14.14,3256.5,Good,Medium,Expedite Processing
BATCH-00642,2021-03-26,Night,Strawberry,Berries,SUP-014,273.83,2.07,62.28,1369.4,113.8,67.4,Yes,Zone-D,9.0,0.35,3,Washer-1,2905.57,344.74,7.54,1762.01,53.86,1,0,Partial,92.44,2,23.96,8.75,1916.8,Good,Low,Activate Backup Supplier
BATCH-00643,2022-06-11,Morning,Tomato,Vegetables,SUP-014,1518.55,6.57,72.44,1207.7,445.2,91.7,Yes,Zone-D,6.97,0.58,4,Conveyor-B,736.23,2160.69,9.13,6294.4,86.05,0,0,Delayed,78.86,3,131.51,8.66,3287.75,Good,Low,Prioritize Dispatch
BATCH-00644,2023-11-08,Morning,Banana,Fruits,SUP-004,123.93,10.89,67.6,449.0,430.8,36.5,Yes,Zone-A,4.68,1.24,1,Washer-1,3702.13,2786.1,3.94,6168.03,91.41,0,0,Fulfilled,67.09,3,11.49,9.27,229.8,Good,Low,Quality Re-inspection Required
BATCH-00645,2020-05-19,Morning,Tomato,Vegetables,SUP-015,1324.52,13.14,77.33,820.9,181.2,18.2,Yes,Zone-D,9.51,2.05,5,Washer-1,1446.3,2314.17,9.9,3413.34,75.08,1,0,Partial,64.13,0,168.88,12.75,4222.0,Good,Medium,Activate Backup Supplier
BATCH-00646,2020-02-02,Night,Pineapple,Fruits,SUP-003,447.44,3.18,52.03,1218.6,192.9,19.4,Yes,Zone-B,9.65,1.83,6,Sorter-X,4075.07,655.86,1.92,5889.17,,0,0,Fulfilled,76.52,0,24.52,5.48,1103.4,Good,Low,Monitor & Maintain
BATCH-00647,2020-03-22,Night,Onion,Root Vegetables,SUP-005,541.57,14.69,86.42,1088.4,350.8,3.9,Yes,Zone-B,3.48,1.47,6,Packer-Z,1898.7,353.7,6.62,2903.3,72.9,1,0,Delayed,77.32,0,68.35,12.62,1503.7,Good,Medium,Reduce Storage Temperature
BATCH-00648,2020-03-17,Night,Potato,Root Vegetables,SUP-001,1307.7,11.78,73.96,1573.7,45.2,54.2,Yes,Zone-B,3.87,2.67,4,Sorter-X,2650.52,1522.1,0.83,5007.91,59.93,0,0,Fulfilled,83.68,0,129.46,9.9,2330.28,Good,Low,Monitor & Maintain
BATCH-00649,2023-08-18,Afternoon,Strawberry,Berries,SUP-003,1986.59,11.46,,1439.3,40.5,89.3,No,Zone-B,4.14,3.74,5,Conveyor-B,4513.33,2873.58,2.52,5730.41,73.72,0,0,Fulfilled,90.27,0,354.61,17.85,28368.8,Bad,Medium,Restore Cold Chain Immediately
BATCH-00650,2022-11-19,Morning,Tomato,Vegetables,SUP-015,1577.66,7.26,50.55,,68.2,69.0,No,Zone-A,8.31,13.75,1,Conveyor-B,4127.81,2475.27,6.52,5812.4,60.8,1,0,Fulfilled,96.12,0,347.4,22.02,8685.0,Bad,High,Restore Cold Chain Immediately
BATCH-00651,2022-09-15,Morning,Tomato,Vegetables,SUP-008,529.1,12.71,51.74,1270.9,281.2,95.3,Yes,Zone-D,8.02,1.25,5,Packer-Z,4018.39,1731.93,0.94,7370.85,73.6,1,0,Delayed,90.04,3,95.24,18.0,2381.0,Bad,High,Prioritize Dispatch
BATCH-00652,2022-02-01,Morning,Banana,Fruits,SUP-004,434.45,,80.22,803.6,74.5,87.5,Yes,Zone-D,9.84,10.58,5,Washer-1,1221.95,514.65,1.47,2717.45,,0,0,Fulfilled,,2,33.67,7.75,673.4,Good,Low,Expedite Processing
BATCH-00653,2023-02-15,Night,Potato,Root Vegetables,SUP-002,1745.84,3.16,71.46,1218.5,138.8,48.2,Yes,Zone-C,4.92,2.62,6,Packer-Z,716.64,2170.13,3.26,4453.44,59.28,0,0,Delayed,76.97,2,91.48,5.24,1646.64,Good,Low,Monitor & Maintain
BATCH-00654,2020-08-15,Morning,Orange,Fruits,SUP-010,943.95,15.21,62.13,1140.7,323.5,47.7,Yes,Zone-D,7.5,2.14,4,Washer-1,3225.92,2457.69,5.97,6773.41,94.15,0,0,Fulfilled,56.71,1,115.45,12.23,4040.75,Good,Medium,Reduce Storage Temperature
BATCH-00655,2021-07-26,Morning,Tomato,Vegetables,SUP-004,360.4,7.79,59.98,1003.7,7.8,61.1,Yes,Zone-C,8.64,2.04,2,Conveyor-A,2348.11,2811.7,0.65,4922.39,55.79,0,0,Fulfilled,57.28,3,32.54,9.03,813.5,Good,Low,Quality Re-inspection Required
BATCH-00656,2021-12-16,Afternoon,Pineapple,Fruits,SUP-003,1738.2,8.25,83.51,1423.5,90.1,12.4,Yes,Zone-C,2.6,4.83,5,Conveyor-A,4590.85,1875.14,5.08,6751.82,61.21,0,0,Fulfilled,66.81,3,125.85,7.24,5663.25,Good,Low,Quality Re-inspection Required
BATCH-00657,2020-06-10,Night,Lemon,Citrus,SUP-002,1650.58,5.75,84.36,1250.4,465.0,59.1,Yes,Zone-B,6.4,5.91,4,Packer-Z,2073.17,1591.95,6.44,4181.88,99.78,0,0,Fulfilled,82.02,2,163.24,9.89,4897.2,Good,Low,Expedite Processing
BATCH-00658,2021-09-04,Morning,Strawberry,Berries,SUP-017,1969.42,10.02,71.16,1467.5,331.8,45.6,Yes,Zone-A,5.7,0.39,6,Conveyor-A,2347.47,1895.63,4.32,6280.99,78.8,1,0,Fulfilled,,2,269.42,13.68,21553.6,Good,Medium,Activate Backup Supplier
BATCH-00659,2021-04-07,Night,Tomato,Vegetables,SUP-020,1828.51,2.94,68.6,737.9,152.8,62.4,Yes,Zone-A,7.56,1.36,1,Conveyor-A,,2835.43,1.14,6714.99,79.29,0,1,Partial,62.31,1,193.09,10.56,4827.25,Good,Medium,Quality Re-inspection Required
BATCH-00660,2020-02-21,Night,Pineapple,Fruits,SUP-013,1718.4,,81.74,817.8,22.7,55.1,Yes,Zone-D,7.11,5.68,1,Conveyor-B,4083.8,1921.57,6.3,6577.81,92.25,1,0,Fulfilled,92.42,0,208.1,12.11,9364.5,Good,Medium,Expedite Processing
BATCH-00661,2020-07-18,Night,Pineapple,Fruits,SUP-005,199.89,11.49,78.72,1146.3,293.0,31.2,Yes,Zone-C,8.22,0.96,2,Washer-1,1707.35,847.02,6.26,6722.63,76.22,0,1,Fulfilled,98.34,3,14.63,7.32,658.35,Good,Low,Monitor & Maintain
BATCH-00662,2023-01-20,Afternoon,Strawberry,Berries,SUP-009,298.39,10.38,63.01,1559.8,111.4,59.1,Yes,Zone-B,3.46,0.53,1,Conveyor-A,4738.19,1944.84,5.31,2935.61,61.09,0,0,Fulfilled,55.73,2,22.59,7.57,1807.2,Good,Low,Quality Re-inspection Required
BATCH-00663,2020-01-27,Night,Orange,Fruits,SUP-006,1181.07,19.99,48.72,845.9,480.1,36.4,Yes,Zone-C,2.56,0.22,4,Sorter-X,2929.65,2651.26,7.08,4210.5,71.12,0,0,Fulfilled,58.93,3,172.08,14.57,6022.8,Good,Medium,Reduce Storage Temperature
BATCH-00664,2023-09-26,Night,Pineapple,Fruits,SUP-005,1109.81,9.0,79.58,438.8,343.5,20.3,No,Zone-B,8.15,1.82,2,Conveyor-B,4284.4,1744.31,2.47,2674.26,87.75,0,0,Fulfilled,76.97,2,168.25,15.16,7571.25,Bad,Medium,Restore Cold Chain Immediately
BATCH-00665,2020-05-06,Night,Lemon,Citrus,SUP-010,970.13,8.97,52.59,935.1,487.1,65.5,No,Zone-C,3.93,2.41,6,Washer-1,2865.28,1557.83,6.95,2708.94,93.62,1,0,Partial,69.86,0,206.35,21.27,6190.5,Bad,High,Restore Cold Chain Immediately
BATCH-00666,2023-03-12,Morning,Pineapple,Fruits,SUP-008,853.9,11.06,45.74,1052.7,424.4,30.8,Yes,Zone-D,3.23,,4,Conveyor-B,3973.97,2226.77,2.03,4494.28,63.66,1,0,Fulfilled,89.41,0,84.79,9.93,3815.55,Good,Low,Activate Backup Supplier
BATCH-00667,2023-08-04,Afternoon,Pineapple,Fruits,SUP-007,919.3,5.43,82.95,1361.2,241.5,85.6,No,Zone-D,3.7,2.24,6,Sorter-X,731.39,2016.87,4.23,7238.11,63.1,0,0,Partial,83.79,3,140.93,15.33,6341.85,Bad,Medium,Restore Cold Chain Immediately
BATCH-00668,2023-10-06,Morning,Pineapple,Fruits,SUP-007,1181.67,17.77,71.02,1274.3,334.8,20.7,Yes,Zone-C,1.13,4.6,6,Washer-1,4096.46,264.39,1.14,5099.0,66.38,0,0,Partial,58.01,2,188.83,15.98,8497.35,Bad,Medium,Reduce Storage Temperature
BATCH-00669,2023-06-20,Afternoon,Onion,Root Vegetables,SUP-006,103.95,12.3,85.12,1557.6,406.1,58.4,Yes,Zone-A,7.84,0.56,2,Packer-Z,,2203.4,8.28,6620.84,79.81,0,0,Fulfilled,78.97,3,9.65,9.28,212.3,Good,Low,Monitor & Maintain
BATCH-00670,2021-02-23,Afternoon,Onion,Root Vegetables,SUP-020,595.35,5.46,66.81,1339.2,289.1,55.7,Yes,Zone-B,7.29,0.26,2,Packer-Z,2522.37,1281.89,5.61,7105.04,63.93,0,0,Fulfilled,69.81,0,42.45,7.13,933.9,Good,Low,Quality Re-inspection Required
BATCH-00671,2021-05-01,Night,Orange,Fruits,SUP-003,1084.73,16.28,86.69,758.4,30.7,20.6,No,Zone-A,5.75,3.61,4,Conveyor-B,,2828.61,9.72,2163.0,94.66,0,0,Delayed,97.46,3,136.68,12.6,4783.8,Good,Medium,Restore Cold Chain Immediately
BATCH-00672,2021-09-14,Night,Tomato,Vegetables,SUP-019,1472.21,2.62,60.93,1169.7,235.2,43.3,Yes,Zone-A,7.3,4.96,2,Packer-Z,3837.03,2915.33,9.45,2601.59,98.9,0,0,Fulfilled,75.91,2,114.83,7.8,2870.75,Good,Low,Monitor & Maintain
BATCH-00673,2020-07-22,Morning,Pineapple,Fruits,SUP-015,430.9,19.69,77.6,1206.7,65.3,65.5,Yes,Zone-C,4.04,0.48,4,Washer-1,1090.24,1401.34,9.99,3349.79,83.96,0,0,Delayed,95.82,0,50.72,11.77,2282.4,Good,Medium,Reduce Storage Temperature
BATCH-00674,2020-02-02,Afternoon,Potato,Root Vegetables,SUP-004,1139.07,17.57,58.54,1597.6,357.4,31.9,Yes,Zone-B,3.31,2.56,1,Sorter-X,1365.43,2909.51,1.46,5243.47,98.51,0,0,Fulfilled,56.33,3,152.29,13.37,2741.22,Good,Medium,Reduce Storage Temperature
BATCH-00675,2023-06-22,Night,Tomato,Vegetables,SUP-012,1457.47,12.43,45.05,566.5,340.3,12.7,No,Zone-B,8.69,1.79,1,Sorter-X,1068.9,1001.38,6.26,2018.65,64.39,0,0,Partial,59.54,1,244.27,16.76,6106.75,Bad,Medium,Restore Cold Chain Immediately
BATCH-00676,2022-03-20,Night,Orange,Fruits,SUP-006,944.79,4.0,62.09,629.6,496.5,59.8,Yes,Zone-D,4.51,0.55,5,Packer-Z,529.59,2079.67,4.37,6230.46,90.76,0,0,Partial,72.0,3,58.67,6.21,2053.45,Good,Low,Monitor & Maintain
BATCH-00677,2022-06-07,Night,Mango,Fruits,SUP-019,151.45,5.87,78.2,586.6,314.4,23.1,Yes,Zone-C,2.36,3.47,3,Conveyor-A,3478.61,317.66,5.56,2030.61,83.92,0,1,Fulfilled,94.03,3,11.86,7.83,711.6,Good,Low,Monitor & Maintain
BATCH-00678,2023-09-15,Night,Tomato,Vegetables,SUP-004,953.61,7.03,51.75,1106.9,400.1,66.1,Yes,Zone-C,7.62,1.27,3,Conveyor-A,1718.8,520.47,3.43,2580.49,63.16,0,1,Fulfilled,78.96,2,110.33,11.57,2758.25,Good,Medium,Monitor & Maintain
BATCH-00679,2022-08-29,Morning,Tomato,Vegetables,SUP-015,663.25,6.34,67.72,562.4,134.1,80.9,No,Zone-C,3.69,2.41,1,Conveyor-A,,2607.13,0.96,3877.72,,0,0,Delayed,91.26,0,94.05,14.18,2351.25,Good,Medium,Restore Cold Chain Immediately
BATCH-00680,2022-10-05,Morning,Leafy Greens,Vegetables,SUP-009,1866.33,10.96,,1187.2,170.0,13.6,Yes,Zone-D,2.51,0.72,5,Packer-Z,1939.88,2691.97,7.22,4900.35,74.43,1,0,Partial,67.48,0,229.0,12.27,3435.0,Good,Medium,Activate Backup Supplier
BATCH-00681,2023-02-22,Night,Banana,Fruits,SUP-005,336.77,19.0,48.36,1364.5,458.5,43.1,Yes,Zone-D,0.76,3.38,3,Packer-Z,2745.88,1644.57,9.68,6781.54,,0,0,Partial,59.91,1,50.55,15.01,1011.0,Bad,Medium,Reduce Storage Temperature
BATCH-00682,2020-06-18,Night,Leafy Greens,Vegetables,SUP-013,1339.7,10.0,72.79,919.4,377.6,43.8,Yes,Zone-B,9.72,0.61,4,Packer-Z,2765.36,1085.34,5.56,7259.27,93.61,0,0,Fulfilled,65.83,3,142.68,10.65,2140.2,Good,Medium,Quality Re-inspection Required
BATCH-00683,2021-06-09,Night,Lemon,Citrus,SUP-018,200.17,13.91,87.84,,327.6,61.5,Yes,Zone-D,4.94,0.91,4,Washer-1,2152.38,1407.97,3.63,6799.77,81.7,1,0,Fulfilled,83.39,3,26.12,13.05,783.6,Good,Medium,Activate Backup Supplier
BATCH-00684,2023-11-14,Night,Onion,Root Vegetables,SUP-005,947.72,,58.98,1495.3,127.0,33.4,Yes,Zone-C,2.04,0.99,2,Conveyor-A,2727.2,2621.91,9.41,2281.93,86.08,0,0,Delayed,93.34,3,89.65,9.46,1972.3,Good,Low,Reduce Storage Temperature
BATCH-00685,2023-09-09,Night,Onion,Root Vegetables,SUP-016,1152.56,17.69,71.13,,349.3,41.3,Yes,Zone-C,7.7,,3,Conveyor-B,2423.04,711.88,3.96,5327.44,63.19,1,0,Fulfilled,75.02,0,166.31,14.43,3658.82,Good,Medium,Reduce Storage Temperature
BATCH-00686,2023-07-14,Afternoon,Banana,Fruits,SUP-019,666.11,2.61,,650.3,443.4,3.1,No,Zone-A,8.93,4.15,6,Washer-1,4201.99,955.12,9.19,4226.36,87.05,0,0,Delayed,63.52,0,79.07,11.87,1581.4,Good,Medium,Restore Cold Chain Immediately
BATCH-00687,2021-10-22,Afternoon,Strawberry,Berries,SUP-014,964.64,9.28,74.27,811.8,115.4,13.5,Yes,Zone-D,5.52,0.24,4,Washer-1,633.26,2377.78,8.63,2390.85,,0,0,Fulfilled,83.05,3,59.9,6.21,4792.0,Good,Low,Monitor & Maintain
BATCH-00688,2023-06-05,Afternoon,Strawberry,Berries,SUP-016,410.75,,75.29,1035.8,353.1,55.6,No,Zone-C,0.77,1.66,3,Packer-Z,4406.14,2812.28,5.52,4885.2,61.15,0,0,Partial,63.67,3,78.25,19.05,6260.0,Bad,High,Restore Cold Chain Immediately
BATCH-00689,2020-03-11,Afternoon,Orange,Fruits,SUP-015,677.84,16.67,53.05,585.9,196.8,22.3,No,Zone-C,3.97,3.37,2,Packer-Z,1597.62,369.49,6.93,3732.18,97.51,1,0,Fulfilled,80.09,0,131.43,19.39,4600.05,Bad,High,Restore Cold Chain Immediately
BATCH-00690,2020-08-04,Night,Banana,Fruits,SUP-004,1280.1,18.69,67.17,1135.0,59.4,15.6,Yes,Zone-B,2.81,1.74,1,Washer-1,3748.02,2430.94,7.15,3669.03,75.64,0,0,Partial,59.5,2,158.35,12.37,3167.0,Good,Medium,Reduce Storage Temperature
BATCH-00691,2021-08-27,Afternoon,Tomato,Vegetables,SUP-007,673.42,,61.52,1599.1,381.7,32.5,Yes,Zone-D,6.55,0.79,5,Packer-Z,2322.68,1970.7,6.59,2208.73,89.72,0,0,Fulfilled,90.69,1,59.93,8.9,1498.25,Good,Low,Reduce Storage Temperature
BATCH-00692,2021-12-06,Afternoon,Strawberry,Berries,SUP-016,1809.51,,66.19,1183.0,83.6,17.4,No,Zone-C,5.43,3.04,6,Conveyor-A,1824.5,769.24,2.03,7347.14,76.28,0,0,Partial,90.43,1,216.6,11.97,17328.0,Good,Medium,Restore Cold Chain Immediately
BATCH-00693,2021-01-19,Morning,Pineapple,Fruits,SUP-008,1293.97,11.1,81.04,846.9,126.4,7.6,Yes,Zone-B,3.88,1.38,2,Washer-1,3269.06,2291.87,7.08,5877.83,96.65,0,0,Delayed,78.82,1,94.59,7.31,4256.55,Good,Low,Monitor & Maintain
BATCH-00694,2021-06-04,Afternoon,Potato,Root Vegetables,SUP-017,933.43,2.58,65.73,798.1,391.5,28.7,Yes,Zone-A,6.66,0.36,2,Washer-1,3959.98,2210.96,0.53,3288.74,57.06,0,0,Fulfilled,56.68,2,14.47,1.55,260.46,Good,Low,Quality Re-inspection Required
BATCH-00695,2020-08-25,Afternoon,Tomato,Vegetables,SUP-016,173.64,13.64,47.83,,371.1,17.4,Yes,Zone-A,6.05,,2,Washer-1,2524.71,511.89,7.25,6990.53,77.31,0,0,Fulfilled,67.33,3,18.67,10.75,466.75,Good,Medium,Quality Re-inspection Required
BATCH-00696,2021-12-15,Night,Lemon,Citrus,SUP-010,1049.14,11.98,85.75,1445.8,127.1,77.1,Yes,Zone-B,9.11,,5,Packer-Z,2599.49,1556.53,5.77,7168.39,51.26,1,0,Fulfilled,61.08,0,178.67,17.03,5360.1,Bad,Medium,Prioritize Dispatch
BATCH-00697,2023-03-05,Afternoon,Pineapple,Fruits,SUP-010,1553.07,14.0,69.52,966.8,470.5,7.9,Yes,Zone-D,6.17,2.15,4,Washer-1,764.85,2299.04,2.97,6368.28,,0,0,Partial,78.03,2,161.67,10.41,7275.15,Good,Medium,Monitor & Maintain
BATCH-00698,2022-08-23,Afternoon,Pineapple,Fruits,SUP-002,604.56,18.74,86.6,,107.6,72.3,No,Zone-C,5.32,,3,Conveyor-B,4657.98,655.48,8.14,5490.62,64.05,0,0,Fulfilled,59.48,1,141.89,23.47,6385.05,Bad,High,Restore Cold Chain Immediately
BATCH-00699,2020-06-06,Night,Banana,Fruits,SUP-009,1632.87,14.37,70.76,1252.6,496.8,38.0,No,Zone-D,8.32,0.63,1,Conveyor-B,4311.04,1442.02,4.35,3846.75,73.63,0,0,Fulfilled,,3,230.07,14.09,4601.4,Good,Medium,Restore Cold Chain Immediately
BATCH-00700,2021-12-12,Afternoon,Orange,Fruits,SUP-017,578.43,7.77,48.13,777.4,368.9,65.5,Yes,Zone-B,2.42,1.8,1,Conveyor-A,2290.97,450.15,5.11,4183.55,,0,0,Fulfilled,92.41,1,36.44,6.3,1275.4,Good,Low,Monitor & Maintain
BATCH-00701,2022-10-15,Night,Lemon,Citrus,SUP-011,1665.12,,69.88,543.3,196.3,7.0,Yes,Zone-C,2.81,0.81,6,Washer-1,3942.28,989.82,0.76,4303.62,73.33,0,0,Fulfilled,61.87,1,140.7,8.45,4221.0,Good,Low,Quality Re-inspection Required
BATCH-00702,2022-02-12,Afternoon,Strawberry,Berries,SUP-010,262.01,17.38,70.91,,65.2,88.5,Yes,Zone-C,7.94,0.51,5,Washer-1,1909.76,732.04,4.31,7172.31,78.06,0,0,Fulfilled,85.58,2,41.35,15.78,3308.0,Bad,Medium,Reduce Storage Temperature
BATCH-00703,2021-07-25,Morning,Banana,Fruits,SUP-017,1745.75,5.5,,921.2,160.3,74.1,Yes,Zone-C,4.7,5.82,1,Packer-Z,3786.9,1564.71,2.09,6076.38,96.2,0,0,Fulfilled,85.65,3,190.46,10.91,3809.2,Good,Medium,Expedite Processing
BATCH-00704,2022-06-26,Morning,Strawberry,Berries,SUP-004,1048.45,4.91,66.2,706.5,96.9,15.2,Yes,Zone-D,4.39,0.76,6,Sorter-X,2825.11,509.52,3.12,3356.6,87.83,1,0,Fulfilled,72.46,2,71.29,6.8,5703.2,Good,Low,Activate Backup Supplier
BATCH-00705,2023-11-15,Afternoon,Banana,Fruits,SUP-016,663.42,5.72,65.67,660.2,310.9,22.6,No,Zone-D,8.93,0.82,6,Sorter-X,2573.45,1211.14,2.9,5289.16,52.51,0,0,Fulfilled,61.73,0,71.91,10.84,1438.2,Good,Medium,Restore Cold Chain Immediately
BATCH-00706,2020-05-18,Morning,Banana,Fruits,SUP-020,603.72,11.16,73.03,407.4,178.4,62.5,No,Zone-B,6.3,4.54,5,Washer-1,,897.97,0.94,5110.56,58.82,1,0,Fulfilled,60.81,2,130.58,21.63,2611.6,Bad,High,Restore Cold Chain Immediately
BATCH-00707,2021-07-23,Night,Banana,Fruits,SUP-015,920.82,4.24,56.68,1157.0,147.5,88.6,Yes,Zone-A,8.13,0.31,5,Conveyor-A,4844.4,2263.54,4.87,6378.46,51.91,0,0,Fulfilled,87.54,0,83.33,9.05,1666.6,Good,Low,Prioritize Dispatch
BATCH-00708,2021-08-16,Afternoon,Orange,Fruits,SUP-005,1998.19,18.89,71.18,1137.3,378.6,43.9,Yes,Zone-B,8.19,1.76,3,Conveyor-B,4268.34,2129.04,5.46,2213.74,53.45,0,0,Fulfilled,64.69,0,1169.954190553489,10.48,7329.35,Good,Medium,Reduce Storage Temperature
BATCH-00709,2022-04-22,Night,Banana,Fruits,SUP-006,518.62,19.39,55.84,625.6,115.3,47.6,Yes,Zone-C,1.64,3.06,3,Washer-1,4070.25,375.3,5.93,5734.39,66.94,0,0,Partial,81.55,0,64.72,12.48,1294.4,Good,Medium,Reduce Storage Temperature
BATCH-00710,2020-08-10,Morning,Mango,Fruits,SUP-017,296.11,19.53,65.09,1532.4,293.4,24.4,Yes,Zone-B,6.71,0.64,5,Washer-1,1872.12,2865.1,4.89,3584.1,86.39,1,0,Partial,93.1,3,50.93,17.2,3055.8,Bad,Medium,Reduce Storage Temperature
BATCH-00711,2020-09-14,Night,Potato,Root Vegetables,SUP-001,1211.57,2.7,50.52,891.5,97.3,38.0,Yes,Zone-A,9.55,3.72,3,Conveyor-A,1803.16,2259.58,8.76,2413.16,62.22,0,0,Fulfilled,81.1,3,64.46,5.32,1160.28,Good,Low,Monitor & Maintain
BATCH-00712,2021-02-20,Morning,Strawberry,Berries,SUP-019,1028.23,19.03,46.68,430.6,357.4,28.9,No,Zone-B,5.06,2.94,4,Conveyor-A,3079.37,1886.28,0.86,5911.6,69.61,0,0,Partial,97.85,1,172.74,16.8,13819.2,Bad,Medium,Restore Cold Chain Immediately
BATCH-00713,2023-10-27,Morning,Tomato,Vegetables,SUP-004,1095.97,19.95,,663.7,312.6,35.0,No,Zone-A,7.46,1.33,2,Sorter-X,4308.0,1485.33,6.33,3586.86,69.69,0,0,Cancelled,83.4,0,198.7,18.13,4967.5,Bad,High,Restore Cold Chain Immediately
BATCH-00714,2022-12-07,Morning,Leafy Greens,Vegetables,SUP-017,1367.18,18.96,57.36,1230.5,399.1,3.9,No,Zone-A,5.88,0.25,1,Washer-1,4705.83,615.98,8.73,5902.02,79.52,0,0,Cancelled,68.84,3,263.05,19.24,3945.75,Bad,High,Restore Cold Chain Immediately
BATCH-00715,2022-08-24,Night,Lemon,Citrus,SUP-009,607.57,14.08,63.31,641.9,34.2,5.9,No,Zone-C,2.45,7.02,1,Washer-1,1710.18,2889.85,0.89,2603.76,94.65,0,0,Fulfilled,92.51,2,89.5,14.73,2685.0,Good,Medium,Restore Cold Chain Immediately
BATCH-00716,2023-04-07,Morning,Onion,Root Vegetables,SUP-002,1830.26,14.62,88.29,464.7,105.1,66.0,No,Zone-A,2.35,1.96,1,Packer-Z,3233.37,122.79,5.21,7388.24,99.16,1,1,Fulfilled,68.68,2,395.52,21.61,8701.44,Bad,High,Restore Cold Chain Immediately
BATCH-00717,2020-07-05,Afternoon,Orange,Fruits,SUP-008,927.78,4.2,68.5,1141.2,77.2,66.1,No,Zone-D,4.62,,1,Conveyor-B,3757.56,2108.2,6.1,6327.8,80.23,0,0,Fulfilled,97.75,3,124.69,13.44,4364.15,Good,Medium,Restore Cold Chain Immediately
BATCH-00718,2023-06-08,Morning,Tomato,Vegetables,SUP-015,345.26,17.74,69.89,1022.0,95.3,33.0,Yes,Zone-B,5.09,4.33,4,Packer-Z,,1571.59,2.31,3339.97,75.25,0,0,Fulfilled,,3,39.08,11.32,977.0,Good,Medium,Reduce Storage Temperature
BATCH-00719,2022-05-18,Afternoon,Pineapple,Fruits,SUP-007,1510.37,3.07,87.37,1313.5,51.5,85.2,Yes,Zone-B,5.28,1.09,4,Packer-Z,2333.61,2717.49,2.9,5962.45,,0,0,Fulfilled,96.94,1,64.49,4.27,2902.05,Good,Low,Prioritize Dispatch
BATCH-00720,2021-05-04,Afternoon,Mango,Fruits,SUP-006,1321.9,7.72,86.45,1327.2,281.0,27.0,Yes,Zone-D,9.57,,2,Conveyor-B,1343.63,1204.02,7.96,2449.0,83.4,1,0,Delayed,63.08,1,177.93,13.46,10675.8,Good,Medium,Activate Backup Supplier
BATCH-00721,2023-04-06,Afternoon,Onion,Root Vegetables,SUP-001,699.91,19.84,84.79,1551.9,296.7,39.2,Yes,Zone-D,1.45,3.91,5,Washer-1,3645.07,1604.07,5.89,5456.47,76.2,0,0,Fulfilled,55.5,1,119.05,17.01,2619.1,Bad,Medium,Reduce Storage Temperature
BATCH-00722,2023-03-17,Afternoon,Leafy Greens,Vegetables,SUP-015,1280.89,9.6,49.41,468.4,421.7,70.7,Yes,Zone-C,4.12,1.0,3,Sorter-X,4387.03,2252.78,3.5,2006.49,86.85,0,0,Partial,63.63,2,139.36,10.88,2090.4,Good,Medium,Quality Re-inspection Required
BATCH-00723,2023-05-19,Night,Tomato,Vegetables,SUP-007,517.74,4.36,73.54,,208.9,71.9,No,Zone-B,5.39,,2,Conveyor-B,4448.9,237.94,7.77,3596.98,74.56,0,0,Fulfilled,59.33,2,93.56,18.07,2339.0,Bad,High,Restore Cold Chain Immediately
