route,season,quantity_kg,distance_km,vehicle_type,road_condition,packaging_type,temperature_c,humidity_pct,transit_hours,days_to_spoil,spoilage_loss_pct
Dambulla - Colombo,Dry,320,105,Open Truck,Good,Sack,32.8,66.1,4.2,2.7,23.25
Dambulla - Colombo,Dry,200,129,Covered Truck,Moderate,Ventilated Box,34,74.2,5.5,8.2,16.02
Dambulla - Colombo,Dry,353,117,Open Truck,Good,Ventilated Box,27.5,65.8,3.7,7.7,15.23
Dambulla - Colombo,Dry,740,139,Three-Wheeler,Moderate,Sack,31.8,53.1,5.5,5.4,19.42
Dambulla - Colombo,Dry,469,143,Covered Truck,Good,Cardboard Box,33.5,66.6,5.4,8.5,14.68
Dambulla - Colombo,Wet,137,106,Refrigerated Van,Good,Plastic Crate,24.8,84.6,3.6,12.4,12.27
Dambulla - Colombo,Dry,644,91,Covered Truck,Poor,Ventilated Box,32.4,61.8,5.2,9.5,13.41
Dambulla - Colombo,Dry,593,136,Covered Truck,Moderate,Ventilated Box,27.6,60.1,6.2,4.6,16.44
Dambulla - Colombo,Wet,711,90,Covered Truck,Poor,Ventilated Box,29.6,80.3,4.4,4.5,19.56
Dambulla - Colombo,Dry,673,97,Covered Truck,Good,Ventilated Box,32.2,62.4,4.1,10,14.28
Dambulla - Colombo,Dry,723,94,Covered Truck,Moderate,Cardboard Box,30.3,70.5,4.7,5.9,20.18
Dambulla - Colombo,Dry,244,131,Open Truck,Good,Sack,33.6,80.5,6.3,11.8,17.08
Dambulla - Colombo,Dry,366,97,Covered Truck,Moderate,Ventilated Box,32.4,81.3,4.4,10.4,13.05
Dambulla - Colombo,Wet,220,137,Open Truck,Poor,Plastic Crate,28.1,73.3,5.7,9.2,17.97
Dambulla - Colombo,Wet,548,113,Open Truck,Good,Cardboard Box,30.6,86.9,5.7,7.2,17.39
Dambulla - Colombo,Dry,609,141,Three-Wheeler,Poor,Plastic Crate,30.9,66.8,6.6,7.5,16.85
Dambulla - Colombo,Wet,684,138,Open Truck,Moderate,Ventilated Box,30,64.5,7.4,9.9,13.79
Dambulla - Colombo,Wet,111,127,Refrigerated Van,Moderate,Cardboard Box,30.2,89.6,4.5,9.4,17.68
Dambulla - Colombo,Dry,549,129,Open Truck,Moderate,Ventilated Box,34.5,70.5,6.3,10.5,14.88
Dambulla - Colombo,Wet,625,101,Covered Truck,Moderate,Plastic Crate,28.7,84.8,5.4,7.4,18.67
Dambulla - Colombo,Wet,655,141,Covered Truck,Moderate,Sack,31.4,71.4,5.5,4.2,20.75
Dambulla - Colombo,Wet,288,133,Refrigerated Van,Moderate,Sack,29.4,81.6,6.7,12.2,13.86
Dambulla - Colombo,Dry,529,123,Covered Truck,Good,Plastic Crate,27.2,71.7,5.9,4.6,15.38
Dambulla - Colombo,Dry,266,140,Refrigerated Van,Good,Cardboard Box,31.9,58.6,6.1,9.5,15.08
Dambulla - Colombo,Wet,140,132,Open Truck,Moderate,Ventilated Box,26.2,82.8,6.3,1.5,23.22
Dambulla - Colombo,Dry,163,119,Refrigerated Van,Moderate,Sack,33.7,60.1,4.8,11.8,13.45
Dambulla - Colombo,Dry,68,109,Open Truck,Poor,Ventilated Box,31.6,74.3,6.2,6.3,19.6
Dambulla - Colombo,Dry,710,89,Covered Truck,Poor,Plastic Crate,30.5,71.4,4.2,4.9,18.03
Dambulla - Colombo,Wet,392,107,Three-Wheeler,Poor,Plastic Crate,25.4,90.9,4.8,8.2,20.91
Dambulla - Colombo,Dry,479,106,Refrigerated Van,Poor,Ventilated Box,32.4,62.7,4.7,11.5,13.91
Dambulla - Colombo,Wet,791,114,Covered Truck,Moderate,Sack,25.5,98,4.9,3.5,20.67
Dambulla - Colombo,Dry,796,104,Open Truck,Good,Cardboard Box,31.4,67.4,5.6,7.1,17.26
Dambulla - Colombo,Wet,680,121,Refrigerated Van,Good,Plastic Crate,27.4,80.1,5.2,9.5,13.75
Dambulla - Colombo,Dry,325,118,Refrigerated Van,Poor,Sack,32.2,56.9,5.2,5.9,16.39
Dambulla - Colombo,Dry,88,113,Refrigerated Van,Poor,Cardboard Box,32.4,60.7,4.4,8.8,13.79
Dambulla - Colombo,Dry,177,89,Open Truck,Poor,Plastic Crate,33.1,77,5.3,2.2,20.3
Dambulla - Colombo,Dry,138,126,Three-Wheeler,Moderate,Plastic Crate,33.3,64.7,5.4,2.9,25.31
Dambulla - Colombo,Wet,250,111,Open Truck,Good,Plastic Crate,27.3,87.1,4.9,10.7,16.17
Dambulla - Colombo,Dry,278,124,Refrigerated Van,Good,Plastic Crate,34.9,66.4,7.3,10.4,15.7
Dambulla - Colombo,Dry,269,143,Covered Truck,Good,Plastic Crate,31.2,69,6.9,1.8,21.72
Dambulla - Colombo,Dry,436,141,Refrigerated Van,Good,Ventilated Box,34.9,80.2,4.7,5.6,19.45
Dambulla - Colombo,Wet,675,106,Refrigerated Van,Good,Ventilated Box,34.2,95.6,5,8.8,15.49
Dambulla - Colombo,Dry,278,143,Covered Truck,Good,Sack,31.4,71.4,7.7,4.5,20.63
Dambulla - Colombo,Dry,673,97,Refrigerated Van,Moderate,Sack,33.9,65.8,5.2,11.4,12.84
Dambulla - Colombo,Wet,147,138,Covered Truck,Poor,Ventilated Box,22.8,92.3,6,2.5,19.49
Dambulla - Colombo,Wet,732,126,Covered Truck,Good,Sack,30.2,91.3,6.4,3.3,21.41
Dambulla - Colombo,Wet,198,119,Three-Wheeler,Moderate,Sack,31.8,82.8,4.8,11.9,18.33
Dambulla - Colombo,Dry,318,110,Refrigerated Van,Good,Cardboard Box,31.8,71.2,4,9.3,16.07
Dambulla - Colombo,Wet,509,102,Open Truck,Good,Cardboard Box,23.9,79.6,4.4,8.7,16.18
Dambulla - Colombo,Dry,122,142,Open Truck,Moderate,Plastic Crate,31.2,50.1,5.7,4.9,19.47
Dambulla - Colombo,Wet,483,110,Open Truck,Good,Plastic Crate,29.6,75.3,5.8,6.9,17.76
Dambulla - Colombo,Wet,530,133,Covered Truck,Moderate,Plastic Crate,25.9,70.7,4.2,5,17.84
Dambulla - Colombo,Dry,140,127,Covered Truck,Good,Ventilated Box,27,60.7,6.5,12.6,12.76
Dambulla - Colombo,Wet,598,89,Covered Truck,Poor,Cardboard Box,29.2,85,3.7,9.1,16.16
Dambulla - Colombo,Wet,664,138,Covered Truck,Poor,Cardboard Box,23.6,85.5,6.8,2.1,18.55
Dambulla - Colombo,Dry,475,85,Open Truck,Moderate,Sack,32.4,60,5.4,3.7,19.83
Dambulla - Colombo,Dry,478,101,Refrigerated Van,Good,Ventilated Box,28.3,64.2,4,10.7,11.71
Dambulla - Colombo,Dry,619,119,Covered Truck,Poor,Ventilated Box,26.3,65.7,6.7,7.9,16.5
Dambulla - Colombo,Dry,433,101,Covered Truck,Good,Plastic Crate,31.4,68.3,5.3,6.3,16.08
Dambulla - Colombo,Wet,366,142,Refrigerated Van,Good,Plastic Crate,29.8,75.5,6.3,13.6,13.1
Dambulla - Colombo,Dry,333,112,Open Truck,Good,Sack,30.1,65.9,3.5,2.1,24.28
Dambulla - Colombo,Dry,279,141,Refrigerated Van,Poor,Ventilated Box,25.4,64,5.1,14.7,11.42
Dambulla - Colombo,Dry,142,142,Covered Truck,Poor,Plastic Crate,31.4,75.5,5.3,4.1,18.02
Dambulla - Colombo,Wet,145,87,Covered Truck,Good,Cardboard Box,28.8,80.5,4.7,9.3,16.65
Dambulla - Colombo,Dry,442,95,Refrigerated Van,Moderate,Ventilated Box,34.4,65.2,5.5,5.6,20.99
Dambulla - Colombo,Wet,330,131,Covered Truck,Good,Sack,24.8,85.4,6.8,3.3,19.65
Dambulla - Colombo,Wet,646,118,Refrigerated Van,Moderate,Sack,30.6,91.9,5.2,3.9,23.77
Dambulla - Colombo,Wet,413,137,Three-Wheeler,Good,Cardboard Box,23.2,89.9,6.7,8.5,18.33
Dambulla - Colombo,Dry,624,92,Three-Wheeler,Moderate,Plastic Crate,37.1,75.8,3.7,4.5,19.89
Dambulla - Colombo,Wet,712,113,Open Truck,Good,Cardboard Box,27.7,76.6,4.3,3.6,16.54
Dambulla - Colombo,Dry,330,111,Refrigerated Van,Moderate,Ventilated Box,34.3,69.9,4.7,6.1,14.11
Dambulla - Colombo,Dry,583,127,Open Truck,Good,Ventilated Box,33.7,64.5,4.5,8.9,12.63
Dambulla - Colombo,Dry,687,116,Covered Truck,Good,Plastic Crate,29.9,70.1,4.5,8.7,13.75
Dambulla - Colombo,Dry,490,126,Open Truck,Poor,Sack,28.4,68.1,5.5,2.9,21.81
Dambulla - Colombo,Wet,156,100,Covered Truck,Moderate,Sack,29.8,70.7,3.1,12,15.48
Dambulla - Colombo,Dry,157,91,Three-Wheeler,Poor,Ventilated Box,33.9,71.8,5.9,4.5,20.39
Dambulla - Colombo,Dry,603,117,Refrigerated Van,Good,Sack,32.7,67.7,5.8,9.9,15.03
Dambulla - Colombo,Dry,554,93,Refrigerated Van,Good,Ventilated Box,27,78.2,3.1,9.9,12.48
Dambulla - Colombo,Dry,329,121,Open Truck,Moderate,Sack,34.1,65.5,5.4,1.5,24.99
Dambulla - Colombo,Wet,405,120,Refrigerated Van,Poor,Sack,29.1,77.6,5.8,3.1,23.62
Dambulla - Colombo,Wet,386,123,Open Truck,Good,Plastic Crate,26,79.7,7,1.5,22.09
Dambulla - Colombo,Dry,255,136,Three-Wheeler,Moderate,Cardboard Box,29.1,69.7,4.9,5.5,17.9
Dambulla - Colombo,Dry,656,93,Open Truck,Poor,Ventilated Box,31.2,71.3,5.4,1.5,24.72
Dambulla - Colombo,Dry,581,113,Covered Truck,Moderate,Cardboard Box,30.9,69.6,4.5,5.9,19.03
Dambulla - Colombo,Dry,758,135,Covered Truck,Moderate,Cardboard Box,28.1,74.8,6.7,12.5,14.95
Dambulla - Colombo,Wet,525,97,Refrigerated Van,Moderate,Plastic Crate,29.9,90.6,5.3,7.4,18.83
Dambulla - Colombo,Dry,600,112,Covered Truck,Moderate,Plastic Crate,37.4,64.1,5.2,4.7,17.92
Dambulla - Colombo,Dry,269,90,Covered Truck,Poor,Sack,26.6,69.1,4.2,8.6,17.74
Dambulla - Colombo,Dry,649,127,Three-Wheeler,Poor,Cardboard Box,32.3,78.8,5,8.6,18.81
Dambulla - Colombo,Wet,589,125,Covered Truck,Poor,Sack,25.6,73.3,4.7,2.9,20.45
Dambulla - Colombo,Dry,128,130,Covered Truck,Good,Sack,28.6,68,5.5,5.3,17.89
Dambulla - Colombo,Dry,771,109,Refrigerated Van,Moderate,Cardboard Box,28.6,54.5,4.9,10.7,12.37
Dambulla - Colombo,Dry,551,118,Open Truck,Poor,Ventilated Box,30.3,62.2,6.5,5.1,18.09
Dambulla - Colombo,Wet,426,143,Open Truck,Good,Cardboard Box,28.5,90.3,5.9,3.1,20.37
Dambulla - Colombo,Dry,317,114,Covered Truck,Moderate,Plastic Crate,34,69.9,6.3,8.5,16.92
Dambulla - Colombo,Dry,82,115,Refrigerated Van,Good,Sack,32.1,52.8,3.1,15.2,10.55
Dambulla - Colombo,Wet,221,137,Three-Wheeler,Good,Plastic Crate,28.9,73.2,6.3,11.5,15.81
Dambulla - Colombo,Dry,71,102,Three-Wheeler,Poor,Plastic Crate,32.1,70.5,5.1,5.9,16.8
Dambulla - Colombo,Dry,465,133,Three-Wheeler,Moderate,Cardboard Box,30.4,67.8,4.6,9,17.86
Dambulla - Colombo,Dry,672,113,Open Truck,Moderate,Plastic Crate,32.1,64.2,3.9,8.2,15.95
Dambulla - Colombo,Dry,382,87,Covered Truck,Good,Ventilated Box,33.6,84.5,4.2,13.1,13.45
Dambulla - Colombo,Wet,514,133,Covered Truck,Good,Plastic Crate,25.1,95.5,5.5,5.3,20.27
Dambulla - Colombo,Dry,228,143,Three-Wheeler,Moderate,Plastic Crate,30.3,65,7.6,11.2,15.69
Dambulla - Colombo,Dry,758,132,Covered Truck,Good,Ventilated Box,34.8,72,6.4,4.8,17.99
Dambulla - Colombo,Dry,587,95,Covered Truck,Poor,Ventilated Box,28.8,60.1,3.7,10.4,12.62
Dambulla - Colombo,Dry,748,102,Covered Truck,Moderate,Sack,32.3,64.8,3.8,4.3,18.49
Dambulla - Colombo,Dry,359,122,Open Truck,Moderate,Sack,29.6,80.5,5.6,1.5,24.65
Dambulla - Colombo,Wet,712,105,Open Truck,Good,Plastic Crate,23.7,93.3,3.5,6.9,19.7
Dambulla - Colombo,Wet,352,111,Covered Truck,Moderate,Ventilated Box,25.2,85.4,4.1,6.5,18.28
Dambulla - Colombo,Wet,709,132,Covered Truck,Moderate,Ventilated Box,29.6,87,6.2,1.5,25.26
Dambulla - Colombo,Dry,552,129,Covered Truck,Moderate,Plastic Crate,33.5,62.6,4.7,5.7,16.84
Dambulla - Colombo,Dry,531,129,Covered Truck,Good,Plastic Crate,30.9,68.3,4.4,6.3,16.86
Dambulla - Colombo,Wet,451,118,Covered Truck,Good,Ventilated Box,24.8,83.7,6.7,8.1,18.5
Dambulla - Colombo,Dry,378,102,Open Truck,Good,Sack,32.9,73.7,4.8,5.6,18.34
Dambulla - Colombo,Wet,707,89,Refrigerated Van,Poor,Cardboard Box,29.7,70.4,4.7,9.3,15.74
Dambulla - Colombo,Dry,357,121,Open Truck,Good,Ventilated Box,30,59.8,6.5,7.1,17.76
Dambulla - Colombo,Wet,483,89,Three-Wheeler,Moderate,Plastic Crate,24.1,73.6,4.7,12.1,14.7
Dambulla - Colombo,Wet,516,89,Covered Truck,Good,Sack,26.4,75.9,4.5,12.2,14.26
Dambulla - Colombo,Dry,281,133,Refrigerated Van,Good,Sack,30.5,68.3,6.5,12.3,13.72
Dambulla - Colombo,Dry,488,102,Three-Wheeler,Poor,Sack,32.1,66.6,4.9,7,22.22
Dambulla - Colombo,Dry,228,140,Covered Truck,Good,Plastic Crate,30.7,70,7.7,7.9,15.56
Dambulla - Colombo,Wet,568,143,Three-Wheeler,Moderate,Cardboard Box,25.1,86.9,5.1,4.6,22.71
Dambulla - Colombo,Dry,481,125,Refrigerated Van,Moderate,Ventilated Box,32.5,62.9,5.7,8.1,15.39
Dambulla - Colombo,Wet,99,101,Covered Truck,Moderate,Cardboard Box,25.6,90.4,4,1.9,22.92
Dambulla - Colombo,Dry,305,118,Covered Truck,Good,Plastic Crate,33.4,70.1,4.5,10.5,13.31
Dambulla - Colombo,Wet,599,113,Open Truck,Moderate,Ventilated Box,22,87.7,4.8,1.5,23.15
Dambulla - Colombo,Dry,674,121,Covered Truck,Moderate,Ventilated Box,34.1,65.9,5.3,4.9,17.05
Dambulla - Colombo,Dry,666,89,Covered Truck,Good,Sack,33.1,65.2,3.6,6.8,16.42
Dambulla - Colombo,Wet,579,113,Open Truck,Poor,Cardboard Box,30.1,78.6,4.5,7.7,18.35
Dambulla - Colombo,Dry,513,139,Covered Truck,Moderate,Cardboard Box,28.6,72.7,8.3,5.9,18.41
Dambulla - Colombo,Dry,231,126,Covered Truck,Poor,Ventilated Box,33.2,74.7,5.8,4.7,19.04
Dambulla - Colombo,Dry,523,136,Covered Truck,Good,Sack,31.6,68.1,4.5,10.3,12.47
Dambulla - Colombo,Wet,660,106,Refrigerated Van,Good,Ventilated Box,24.7,83,4.2,6.4,15.29
Dambulla - Colombo,Wet,256,142,Covered Truck,Good,Plastic Crate,31.2,76.1,5.8,6.8,17.36
Dambulla - Colombo,Dry,577,121,Open Truck,Poor,Ventilated Box,31.5,75.8,5.8,2.6,19.55
Dambulla - Colombo,Dry,501,128,Refrigerated Van,Poor,Plastic Crate,31.1,69.5,5.5,7.5,15.25
Dambulla - Colombo,Wet,550,125,Open Truck,Good,Ventilated Box,29.2,88.1,4.2,9.4,15.08
Dambulla - Colombo,Dry,616,111,Open Truck,Poor,Cardboard Box,33,70.7,3.4,12.4,14.95
Dambulla - Colombo,Wet,363,125,Covered Truck,Poor,Plastic Crate,27,80,6.1,1.5,22.44
Dambulla - Colombo,Wet,731,101,Covered Truck,Poor,Sack,26.9,89.1,6.3,11.3,16.6
Dambulla - Colombo,Dry,650,120,Refrigerated Van,Good,Sack,25.5,54.2,5,5.8,17.59
Dambulla - Colombo,Dry,367,121,Covered Truck,Good,Ventilated Box,29.7,66.4,4.5,8.4,14.35
Dambulla - Colombo,Dry,323,113,Three-Wheeler,Good,Plastic Crate,30.2,58.7,5.1,11.2,13.34
Dambulla - Colombo,Wet,314,140,Covered Truck,Poor,Plastic Crate,28,80.9,6.8,3.7,18.5
Dambulla - Colombo,Wet,322,116,Three-Wheeler,Moderate,Sack,29.8,73.6,4.7,9.3,15.63
Dambulla - Colombo,Wet,238,130,Refrigerated Van,Moderate,Cardboard Box,29.1,89.9,6.1,6.8,18.1
Dambulla - Colombo,Dry,383,125,Covered Truck,Moderate,Sack,28.2,70.9,4.8,10,15
Dambulla - Colombo,Dry,639,114,Open Truck,Moderate,Sack,30.8,71.3,6.8,9.8,15.09
Dambulla - Colombo,Dry,607,144,Covered Truck,Good,Sack,33.4,70.8,6.6,4.5,20.08
Dambulla - Colombo,Wet,172,120,Covered Truck,Good,Cardboard Box,26.6,83.2,5.5,3.1,17.51
Dambulla - Colombo,Wet,427,89,Covered Truck,Poor,Plastic Crate,27.4,77.9,4.7,7.5,16.93
Dambulla - Colombo,Dry,575,126,Open Truck,Good,Ventilated Box,32.3,73,5,1.5,23.22
Dambulla - Colombo,Dry,565,115,Open Truck,Good,Sack,31.3,66.9,5.3,10.8,14.83
Dambulla - Colombo,Wet,496,90,Three-Wheeler,Moderate,Sack,28.9,78.2,5.4,3.5,21.09
Dambulla - Colombo,Dry,487,126,Covered Truck,Good,Cardboard Box,33.1,63.6,6,4.6,18.07
Dambulla - Colombo,Dry,605,122,Three-Wheeler,Poor,Plastic Crate,33.5,62.3,6.2,1.5,24.6
Dambulla - Colombo,Dry,781,123,Open Truck,Poor,Cardboard Box,29.6,63,5.2,6.5,16.66
Dambulla - Colombo,Dry,645,102,Covered Truck,Poor,Ventilated Box,33.9,66.7,5.1,3,19.8
Dambulla - Colombo,Wet,267,136,Covered Truck,Moderate,Sack,26,80.4,6.1,1.9,25.84
Dambulla - Colombo,Dry,579,85,Refrigerated Van,Good,Sack,29,73.7,4.6,11.7,13.79
Dambulla - Colombo,Dry,643,96,Covered Truck,Good,Cardboard Box,32.8,84.9,4.9,6.4,19.19
Dambulla - Colombo,Dry,446,144,Covered Truck,Poor,Cardboard Box,31.6,61.9,4.4,7.4,17.99
Dambulla - Colombo,Wet,789,116,Covered Truck,Poor,Cardboard Box,28.5,83.8,5.9,5.8,18.23
Dambulla - Colombo,Wet,665,100,Three-Wheeler,Moderate,Ventilated Box,27,80.2,6.4,6.1,20.78
Dambulla - Colombo,Wet,664,89,Covered Truck,Moderate,Cardboard Box,30.8,79.7,3.1,5.3,17.89
Dambulla - Colombo,Wet,231,122,Covered Truck,Good,Ventilated Box,29.5,78.5,5.4,4.2,18.96
Dambulla - Colombo,Wet,275,119,Open Truck,Moderate,Ventilated Box,27.5,83.4,5.7,1.5,21.23
Dambulla - Colombo,Dry,300,123,Open Truck,Poor,Cardboard Box,30.4,56.7,4,10.9,14.3
Dambulla - Colombo,Wet,610,93,Open Truck,Good,Plastic Crate,32.2,77.9,3.7,11.2,14.72
Dambulla - Colombo,Dry,513,131,Covered Truck,Poor,Ventilated Box,32.5,77.8,5.1,7.6,14.27
Dambulla - Colombo,Wet,93,139,Refrigerated Van,Poor,Sack,26.1,81.8,7.6,3.8,23.18
Dambulla - Colombo,Dry,469,114,Covered Truck,Moderate,Ventilated Box,33.9,67.4,4,4.3,17.63
Dambulla - Colombo,Dry,280,94,Open Truck,Good,Plastic Crate,30.6,70.9,4.1,12.5,12.86
Dambulla - Colombo,Wet,194,105,Refrigerated Van,Moderate,Ventilated Box,25.6,87.9,3.3,5.9,15.58
Dambulla - Colombo,Wet,144,133,Covered Truck,Good,Sack,27.6,87.6,4.2,2.5,23.5
Dambulla - Colombo,Wet,759,112,Open Truck,Poor,Cardboard Box,23.6,79.8,5.4,10.7,16.99
Dambulla - Colombo,Wet,158,129,Covered Truck,Good,Plastic Crate,25.9,90,5.4,9.4,16.93
Dambulla - Colombo,Dry,91,140,Covered Truck,Poor,Ventilated Box,32.5,69,5.7,6.5,17.22
Dambulla - Colombo,Wet,106,108,Refrigerated Van,Poor,Ventilated Box,27.8,81.1,4.8,8.3,15.14
Dambulla - Colombo,Wet,195,143,Refrigerated Van,Good,Ventilated Box,26,86.7,7.5,8.1,16.12
Dambulla - Colombo,Wet,560,120,Covered Truck,Poor,Sack,28.5,85.5,5.9,4.2,20.75
Dambulla - Colombo,Wet,199,112,Open Truck,Good,Cardboard Box,26.8,87.5,5.4,8.3,16.12
Dambulla - Colombo,Dry,171,86,Covered Truck,Moderate,Ventilated Box,31.2,77.6,4.6,13.6,12.05
Dambulla - Colombo,Dry,605,129,Covered Truck,Good,Plastic Crate,31,66.5,4.3,9.1,15.45
Dambulla - Colombo,Dry,649,140,Three-Wheeler,Moderate,Plastic Crate,34,58.8,4,8.3,16.45
Dambulla - Colombo,Dry,217,143,Open Truck,Moderate,Ventilated Box,31.7,67.6,5.9,10.2,13.7
Dambulla - Colombo,Dry,229,101,Refrigerated Van,Poor,Sack,29.6,64,3.1,7.7,15.23
Dambulla - Colombo,Wet,385,94,Covered Truck,Poor,Plastic Crate,30.9,97,5.8,1.5,27.34
Dambulla - Colombo,Dry,465,129,Covered Truck,Moderate,Cardboard Box,30.9,65.3,4.9,10.6,13.12
Dambulla - Colombo,Dry,263,130,Open Truck,Poor,Plastic Crate,29.7,62.8,6.1,4.1,17.7
Dambulla - Colombo,Dry,528,122,Refrigerated Van,Good,Sack,29.7,68.2,7.2,8.7,14.08
Dambulla - Colombo,Dry,424,86,Refrigerated Van,Good,Sack,30.1,83.8,4.2,7.1,14.85
Dambulla - Colombo,Wet,520,131,Open Truck,Good,Plastic Crate,27.3,73.2,5.7,5.8,18.31
Dambulla - Colombo,Dry,572,87,Refrigerated Van,Good,Ventilated Box,30.4,60.6,4.4,11.5,12.46
Dambulla - Colombo,Wet,330,119,Open Truck,Good,Plastic Crate,31.3,89.9,4.5,1.5,23.57
Dambulla - Colombo,Dry,125,122,Refrigerated Van,Moderate,Ventilated Box,30.7,74.8,5.2,4.8,19.86
Dambulla - Colombo,Dry,310,122,Three-Wheeler,Moderate,Sack,33.8,75.6,4.3,5.1,21.44
Dambulla - Colombo,Dry,139,105,Open Truck,Moderate,Ventilated Box,26.5,54.6,5.2,5.4,15.79
Dambulla - Colombo,Wet,655,141,Covered Truck,Moderate,Plastic Crate,27.5,89.1,6.1,7.6,16.52
Dambulla - Colombo,Dry,298,98,Covered Truck,Poor,Ventilated Box,31.2,64.4,4.3,2.7,19.68
Dambulla - Colombo,Dry,107,91,Open Truck,Poor,Cardboard Box,33.1,75,3.6,6.9,18.68
Dambulla - Colombo,Wet,51,86,Open Truck,Moderate,Ventilated Box,32.7,89.5,5.4,3.9,21.84
Dambulla - Colombo,Dry,265,131,Open Truck,Moderate,Ventilated Box,31.2,65.2,6,3.1,18.32
Dambulla - Colombo,Wet,256,100,Open Truck,Poor,Cardboard Box,30.2,82,3.7,4.8,22.18
Dambulla - Colombo,Wet,765,107,Three-Wheeler,Poor,Ventilated Box,25.6,73.9,4.4,7.6,18.67
Dambulla - Colombo,Dry,85,140,Covered Truck,Moderate,Cardboard Box,28,74.3,7.7,3.4,19.32
Dambulla - Colombo,Dry,664,106,Covered Truck,Moderate,Ventilated Box,34.4,60.4,4.5,1.8,20.97
Dambulla - Colombo,Dry,563,142,Refrigerated Van,Poor,Ventilated Box,35.9,65.9,4.8,10.3,14.4
Dambulla - Colombo,Wet,118,142,Covered Truck,Moderate,Plastic Crate,28.3,77.3,6.6,3.8,17.95
Dambulla - Colombo,Dry,309,140,Open Truck,Good,Sack,28.6,73.2,5.9,4.5,18.36
Dambulla - Colombo,Wet,510,104,Refrigerated Van,Moderate,Sack,30,82.9,6,10,16.71
Dambulla - Colombo,Wet,523,114,Refrigerated Van,Moderate,Ventilated Box,26.7,76.9,6.4,5.3,15.39
Dambulla - Colombo,Wet,96,125,Covered Truck,Moderate,Plastic Crate,27.2,81,5.9,1.5,24.42
Dambulla - Colombo,Dry,446,91,Covered Truck,Poor,Plastic Crate,34.4,59.7,5.3,3.7,18.17
Dambulla - Colombo,Wet,646,95,Refrigerated Van,Moderate,Sack,29.5,87.2,4.2,4.3,22.4
Dambulla - Colombo,Dry,330,131,Open Truck,Moderate,Cardboard Box,33.2,69.7,6,2.1,22.74
Dambulla - Colombo,Dry,218,134,Open Truck,Good,Sack,33.5,52.3,6.5,6.8,16.79
Dambulla - Colombo,Dry,796,112,Covered Truck,Poor,Sack,34.8,71.7,4.7,10.2,15.75
Dambulla - Colombo,Wet,265,90,Three-Wheeler,Moderate,Ventilated Box,27,77.8,4,8,19.39
Dambulla - Colombo,Dry,712,96,Open Truck,Poor,Sack,28.3,50,4.6,1.5,22.37
Dambulla - Colombo,Wet,83,109,Covered Truck,Poor,Plastic Crate,27.9,78.1,5.1,6.1,17.87
Dambulla - Colombo,Wet,655,96,Open Truck,Moderate,Plastic Crate,23.6,78.1,3.7,11,13.49
Dambulla - Colombo,Dry,704,142,Open Truck,Poor,Plastic Crate,31.4,68.1,5.7,5.5,17.16
Dambulla - Colombo,Dry,353,110,Open Truck,Moderate,Plastic Crate,33.4,71.2,4.9,9.2,15.41
Dambulla - Colombo,Dry,589,90,Covered Truck,Good,Ventilated Box,32.4,67.2,3.1,6.5,16.55
Dambulla - Colombo,Dry,164,117,Three-Wheeler,Good,Ventilated Box,31.3,60.9,5.3,2.5,22.87
Dambulla - Colombo,Wet,682,122,Covered Truck,Poor,Ventilated Box,27.8,63,4,6.5,15.65
Dambulla - Colombo,Wet,436,106,Three-Wheeler,Good,Cardboard Box,26,82.2,3.9,8.3,18.91
Dambulla - Colombo,Dry,433,128,Covered Truck,Good,Cardboard Box,30.7,68.5,6.9,4,17.79
Dambulla - Colombo,Wet,139,102,Open Truck,Moderate,Sack,30.8,77.5,6.5,9,16.4
Dambulla - Colombo,Dry,742,142,Refrigerated Van,Good,Ventilated Box,25.5,65.6,5.5,9.3,9.12
Dambulla - Colombo,Dry,681,101,Open Truck,Moderate,Ventilated Box,30.7,55.4,5.5,1.5,20
Dambulla - Colombo,Dry,65,133,Refrigerated Van,Good,Cardboard Box,30.6,60.4,6.1,13.2,9.1
Dambulla - Colombo,Dry,486,104,Covered Truck,Good,Cardboard Box,30.3,58.4,3.3,10.8,12.39
Dambulla - Colombo,Wet,592,138,Refrigerated Van,Poor,Ventilated Box,27.1,84.5,7.4,5.1,17.64
Dambulla - Colombo,Dry,276,102,Covered Truck,Moderate,Plastic Crate,31.2,72.8,4.3,7.8,16.1
Dambulla - Colombo,Dry,662,107,Covered Truck,Poor,Ventilated Box,31.1,76.9,5.8,7.6,16.78
Dambulla - Colombo,Dry,553,143,Open Truck,Good,Cardboard Box,29.4,70,5.3,3.1,18.34
Dambulla - Colombo,Dry,461,87,Covered Truck,Moderate,Plastic Crate,32.3,62.1,3.7,3.3,19.94
Dambulla - Colombo,Wet,420,112,Open Truck,Poor,Cardboard Box,29.4,83.9,4.8,11,15.49
Dambulla - Colombo,Dry,529,86,Open Truck,Poor,Sack,31.5,73.9,4.9,4.7,20.21
Dambulla - Colombo,Dry,412,85,Open Truck,Good,Sack,28.9,70.9,2.7,9.9,14.5
Dambulla - Colombo,Dry,358,108,Covered Truck,Good,Cardboard Box,28.5,57.9,5.9,9.4,11.18
Dambulla - Colombo,Wet,239,118,Open Truck,Moderate,Plastic Crate,25.4,79.8,5.2,2.1,19.93
Dambulla - Colombo,Dry,415,107,Covered Truck,Good,Sack,28.5,57,5.7,6.7,17.13
