[2026-08-16T18:33:10.264731+00:00] ALERT for batch_id=8: Tomato batch #8: Medium risk (56.7/100). Recommended: Nashik Cold Storage Hub (186.9 km, Rs 18.02/kg).
[2026-08-21T09:55:07.376772+00:00] ALERT for batch_id=64: Tomato batch #64: Low risk (0.0/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T09:55:07.508854+00:00] ALERT for batch_id=63: Mango batch #63: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:55:08.052322+00:00] ALERT for batch_id=62: Mango batch #62: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:55:08.088323+00:00] ALERT for batch_id=59: Tomato batch #59: Low risk (19.5/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T09:55:08.122239+00:00] ALERT for batch_id=60: Onion batch #60: Low risk (8.4/100). Recommended: Nashik APMC Mandi (24.0 km, Rs 19.77/kg).
[2026-08-21T09:55:08.123673+00:00] ALERT for batch_id=61: Mango batch #61: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:55:12.030298+00:00] ALERT for batch_id=58: Mango batch #58: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:55:12.152521+00:00] ALERT for batch_id=57: Mango batch #57: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:55:13.024267+00:00] ALERT for batch_id=56: Mango batch #56: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:55:13.143359+00:00] ALERT for batch_id=64: Tomato batch #64: Low risk (0.0/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T09:55:13.158703+00:00] ALERT for batch_id=55: Mango batch #55: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:55:16.544941+00:00] ALERT for batch_id=62: Mango batch #62: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:55:17.397959+00:00] ALERT for batch_id=60: Onion batch #60: Low risk (8.4/100). Recommended: Nashik APMC Mandi (24.0 km, Rs 19.77/kg).
[2026-08-21T09:55:19.886048+00:00] ALERT for batch_id=58: Mango batch #58: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:55:20.791325+00:00] ALERT for batch_id=57: Mango batch #57: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:55:21.243053+00:00] ALERT for batch_id=63: Mango batch #63: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:55:21.477045+00:00] ALERT for batch_id=56: Mango batch #56: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:55:22.226920+00:00] ALERT for batch_id=59: Tomato batch #59: Low risk (19.5/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T09:55:23.094234+00:00] ALERT for batch_id=61: Mango batch #61: High risk (92.1/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:55:23.809267+00:00] ALERT for batch_id=55: Mango batch #55: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:56:18.348944+00:00] ALERT for batch_id=65: Tomato batch #65: Low risk (9.5/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T09:57:10.283400+00:00] ALERT for batch_id=65: Tomato batch #65: Low risk (9.5/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T09:57:11.042415+00:00] ALERT for batch_id=63: Mango batch #63: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:57:11.131620+00:00] ALERT for batch_id=64: Tomato batch #64: Low risk (0.0/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T09:57:11.164835+00:00] ALERT for batch_id=62: Mango batch #62: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:57:11.164557+00:00] ALERT for batch_id=61: Mango batch #61: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:57:14.357136+00:00] ALERT for batch_id=59: Tomato batch #59: Low risk (19.5/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T09:57:15.642033+00:00] ALERT for batch_id=58: Mango batch #58: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:57:15.758402+00:00] ALERT for batch_id=56: Mango batch #56: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:57:15.846988+00:00] ALERT for batch_id=57: Mango batch #57: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:57:16.760080+00:00] ALERT for batch_id=60: Onion batch #60: Low risk (8.4/100). Recommended: Nashik Cold Storage Hub (25.9 km, Rs 19.81/kg).
[2026-08-21T09:57:18.339538+00:00] ALERT for batch_id=65: Tomato batch #65: Low risk (9.5/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T09:57:18.650174+00:00] ALERT for batch_id=63: Mango batch #63: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:57:20.233398+00:00] ALERT for batch_id=64: Tomato batch #64: Low risk (0.0/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T09:57:20.506838+00:00] ALERT for batch_id=62: Mango batch #62: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:57:20.541754+00:00] ALERT for batch_id=61: Mango batch #61: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:57:23.024602+00:00] ALERT for batch_id=59: Tomato batch #59: Low risk (19.5/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T09:57:23.238572+00:00] ALERT for batch_id=58: Mango batch #58: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:57:23.696174+00:00] ALERT for batch_id=56: Mango batch #56: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:57:24.727782+00:00] ALERT for batch_id=57: Mango batch #57: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:57:24.815889+00:00] ALERT for batch_id=60: Onion batch #60: Low risk (8.4/100). Recommended: Nashik APMC Mandi (24.0 km, Rs 19.77/kg).
[2026-08-21T09:59:00.088013+00:00] ALERT for batch_id=65: Tomato batch #65: Low risk (9.5/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T09:59:00.580864+00:00] ALERT for batch_id=61: Mango batch #61: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:00.820744+00:00] ALERT for batch_id=64: Tomato batch #64: Low risk (0.0/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T09:59:00.831849+00:00] ALERT for batch_id=62: Mango batch #62: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:00.849059+00:00] ALERT for batch_id=63: Mango batch #63: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:00.922211+00:00] ALERT for batch_id=60: Onion batch #60: Low risk (8.4/100). Recommended: Nashik APMC Mandi (24.0 km, Rs 19.77/kg).
[2026-08-21T09:59:04.554471+00:00] ALERT for batch_id=59: Tomato batch #59: Low risk (19.5/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T09:59:05.525932+00:00] ALERT for batch_id=58: Mango batch #58: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:05.779839+00:00] ALERT for batch_id=57: Mango batch #57: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:05.890566+00:00] ALERT for batch_id=56: Mango batch #56: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:05.932166+00:00] ALERT for batch_id=65: Tomato batch #65: Low risk (9.5/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T09:59:08.295163+00:00] ALERT for batch_id=61: Mango batch #61: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:08.939256+00:00] ALERT for batch_id=64: Tomato batch #64: Low risk (0.0/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T09:59:10.239739+00:00] ALERT for batch_id=62: Mango batch #62: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:10.692153+00:00] ALERT for batch_id=63: Mango batch #63: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:10.808155+00:00] ALERT for batch_id=60: Onion batch #60: Low risk (8.4/100). Recommended: Nashik APMC Mandi (24.0 km, Rs 19.77/kg).
[2026-08-21T09:59:12.793091+00:00] ALERT for batch_id=59: Tomato batch #59: Low risk (19.5/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T09:59:13.229784+00:00] ALERT for batch_id=58: Mango batch #58: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:13.714813+00:00] ALERT for batch_id=57: Mango batch #57: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:14.564653+00:00] ALERT for batch_id=56: Mango batch #56: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:16.131684+00:00] ALERT for batch_id=65: Tomato batch #65: Low risk (9.5/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T09:59:16.399050+00:00] ALERT for batch_id=64: Tomato batch #64: Low risk (0.0/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T09:59:18.290151+00:00] ALERT for batch_id=61: Mango batch #61: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:20.701209+00:00] ALERT for batch_id=59: Tomato batch #59: Low risk (19.5/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T09:59:22.672453+00:00] ALERT for batch_id=58: Mango batch #58: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:22.775968+00:00] ALERT for batch_id=57: Mango batch #57: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:22.885649+00:00] ALERT for batch_id=63: Mango batch #63: High risk (92.1/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:23.260537+00:00] ALERT for batch_id=62: Mango batch #62: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:24.275393+00:00] ALERT for batch_id=60: Onion batch #60: Low risk (14.7/100). Recommended: Nashik APMC Mandi (24.0 km, Rs 19.77/kg).
[2026-08-21T09:59:25.721401+00:00] ALERT for batch_id=56: Mango batch #56: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:27.378636+00:00] ALERT for batch_id=65: Tomato batch #65: Low risk (9.5/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T09:59:27.473499+00:00] ALERT for batch_id=64: Tomato batch #64: Low risk (0.0/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T09:59:27.587044+00:00] ALERT for batch_id=61: Mango batch #61: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:28.796029+00:00] ALERT for batch_id=59: Tomato batch #59: Low risk (19.5/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T09:59:30.437517+00:00] ALERT for batch_id=57: Mango batch #57: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:30.441953+00:00] ALERT for batch_id=58: Mango batch #58: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:31.937434+00:00] ALERT for batch_id=63: Mango batch #63: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:32.012726+00:00] ALERT for batch_id=62: Mango batch #62: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:32.255505+00:00] ALERT for batch_id=60: Onion batch #60: Low risk (8.4/100). Recommended: Nashik APMC Mandi (24.0 km, Rs 19.77/kg).
[2026-08-21T09:59:33.476078+00:00] ALERT for batch_id=56: Mango batch #56: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:34.855885+00:00] ALERT for batch_id=65: Tomato batch #65: Low risk (9.5/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T09:59:36.507375+00:00] ALERT for batch_id=64: Tomato batch #64: Low risk (0.0/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T09:59:36.569592+00:00] ALERT for batch_id=61: Mango batch #61: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:36.733166+00:00] ALERT for batch_id=59: Tomato batch #59: Low risk (19.5/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T09:59:38.767239+00:00] ALERT for batch_id=57: Mango batch #57: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:38.966147+00:00] ALERT for batch_id=58: Mango batch #58: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:41.177443+00:00] ALERT for batch_id=62: Mango batch #62: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:45.009444+00:00] ALERT for batch_id=59: Tomato batch #59: Low risk (19.5/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T09:59:46.569434+00:00] ALERT for batch_id=65: Tomato batch #65: Low risk (9.5/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T09:59:46.775828+00:00] ALERT for batch_id=63: Mango batch #63: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:46.984920+00:00] ALERT for batch_id=61: Mango batch #61: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:47.047184+00:00] ALERT for batch_id=60: Onion batch #60: Low risk (8.4/100). Recommended: Nashik Cold Storage Hub (25.9 km, Rs 19.81/kg).
[2026-08-21T09:59:49.191704+00:00] ALERT for batch_id=58: Mango batch #58: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:51.315079+00:00] ALERT for batch_id=56: Mango batch #56: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:51.538822+00:00] ALERT for batch_id=62: Mango batch #62: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:51.706326+00:00] ALERT for batch_id=64: Tomato batch #64: Low risk (0.0/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T09:59:53.607171+00:00] ALERT for batch_id=59: Tomato batch #59: Low risk (19.5/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T09:59:54.115011+00:00] ALERT for batch_id=65: Tomato batch #65: Low risk (9.5/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T09:59:56.129336+00:00] ALERT for batch_id=63: Mango batch #63: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:56.612671+00:00] ALERT for batch_id=60: Onion batch #60: Low risk (8.4/100). Recommended: Nashik APMC Mandi (24.0 km, Rs 19.77/kg).
[2026-08-21T09:59:56.844595+00:00] ALERT for batch_id=57: Mango batch #57: High risk (92.1/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:57.975556+00:00] ALERT for batch_id=58: Mango batch #58: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:59.199158+00:00] ALERT for batch_id=56: Mango batch #56: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T09:59:59.373615+00:00] ALERT for batch_id=64: Tomato batch #64: Low risk (0.0/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T10:00:01.985236+00:00] ALERT for batch_id=61: Mango batch #61: High risk (92.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T10:00:05.810812+00:00] ALERT for batch_id=57: Mango batch #57: High risk (92.1/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T13:49:21.078966+00:00] ALERT for batch_id=64: Tomato batch #64: Low risk (0.0/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T13:49:21.116039+00:00] ALERT for batch_id=65: Tomato batch #65: Low risk (9.5/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T13:49:21.118432+00:00] ALERT for batch_id=61: Mango batch #61: High risk (92.1/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T13:49:21.121205+00:00] ALERT for batch_id=62: Mango batch #62: High risk (92.1/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T13:49:21.138691+00:00] ALERT for batch_id=63: Mango batch #63: High risk (92.1/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T13:49:21.161160+00:00] ALERT for batch_id=60: Onion batch #60: Low risk (14.7/100). Recommended: Nashik Cold Storage Hub (25.9 km, Rs 19.81/kg).
[2026-08-21T16:41:09.631434+00:00] ALERT for batch_id=65: Tomato batch #65: Low risk (9.5/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T16:41:09.977939+00:00] ALERT for batch_id=64: Tomato batch #64: Low risk (0.0/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T16:41:09.981918+00:00] ALERT for batch_id=63: Mango batch #63: High risk (92.1/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T16:41:10.058553+00:00] ALERT for batch_id=62: Mango batch #62: High risk (92.1/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T16:41:10.064615+00:00] ALERT for batch_id=61: Mango batch #61: High risk (92.1/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T16:41:10.161605+00:00] ALERT for batch_id=60: Onion batch #60: Low risk (14.7/100). Recommended: Nashik Cold Storage Hub (25.9 km, Rs 19.81/kg).
[2026-08-21T16:41:11.832763+00:00] ALERT for batch_id=59: Tomato batch #59: Low risk (27.4/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T16:41:12.503261+00:00] ALERT for batch_id=58: Mango batch #58: High risk (92.1/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T16:41:12.521090+00:00] ALERT for batch_id=57: Mango batch #57: High risk (92.1/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T16:41:12.526305+00:00] ALERT for batch_id=56: Mango batch #56: High risk (92.1/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T16:41:12.645649+00:00] ALERT for batch_id=65: Tomato batch #65: Low risk (9.5/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T16:41:14.737904+00:00] ALERT for batch_id=64: Tomato batch #64: Low risk (0.0/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T16:41:15.423549+00:00] ALERT for batch_id=63: Mango batch #63: High risk (92.1/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T16:41:16.107005+00:00] ALERT for batch_id=58: Mango batch #58: High risk (92.1/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T16:41:16.292665+00:00] ALERT for batch_id=61: Mango batch #61: High risk (89.2/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T16:41:16.356475+00:00] ALERT for batch_id=60: Onion batch #60: Low risk (8.5/100). Recommended: Nashik Cold Storage Hub (25.9 km, Rs 19.81/kg).
[2026-08-21T16:41:16.582749+00:00] ALERT for batch_id=62: Mango batch #62: High risk (89.2/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T16:41:16.612462+00:00] ALERT for batch_id=57: Mango batch #57: High risk (92.1/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T16:41:16.692617+00:00] ALERT for batch_id=59: Tomato batch #59: Low risk (27.4/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T16:41:16.851440+00:00] ALERT for batch_id=56: Mango batch #56: High risk (92.1/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T17:09:49.701169+00:00] ALERT for batch_id=63: Mango batch #63: High risk (92.1/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T17:09:49.698512+00:00] ALERT for batch_id=62: Mango batch #62: High risk (92.1/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T17:09:49.719695+00:00] ALERT for batch_id=64: Tomato batch #64: Low risk (0.0/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T17:09:49.734116+00:00] ALERT for batch_id=61: Mango batch #61: High risk (92.1/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T17:09:49.753891+00:00] ALERT for batch_id=65: Tomato batch #65: Low risk (9.5/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T17:09:49.785639+00:00] ALERT for batch_id=60: Onion batch #60: Low risk (14.7/100). Recommended: Nashik Cold Storage Hub (25.9 km, Rs 19.81/kg).
[2026-08-21T17:09:56.140929+00:00] ALERT for batch_id=65: Tomato batch #65: Low risk (9.5/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T17:09:56.657638+00:00] ALERT for batch_id=64: Tomato batch #64: Low risk (0.0/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T17:09:56.748658+00:00] ALERT for batch_id=63: Mango batch #63: High risk (92.1/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T17:09:56.768428+00:00] ALERT for batch_id=62: Mango batch #62: High risk (92.1/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T17:09:56.785997+00:00] ALERT for batch_id=60: Onion batch #60: Low risk (14.7/100). Recommended: Nashik Cold Storage Hub (25.9 km, Rs 19.81/kg).
[2026-08-21T17:09:56.795570+00:00] ALERT for batch_id=61: Mango batch #61: High risk (92.1/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T17:09:56.904433+00:00] ALERT for batch_id=59: Tomato batch #59: Low risk (27.4/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T17:09:57.178329+00:00] ALERT for batch_id=58: Mango batch #58: High risk (92.1/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T17:09:57.376222+00:00] ALERT for batch_id=57: Mango batch #57: High risk (92.1/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T17:09:57.433554+00:00] ALERT for batch_id=65: Tomato batch #65: Low risk (9.5/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T17:09:57.449395+00:00] ALERT for batch_id=56: Mango batch #56: High risk (92.1/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T17:09:57.509098+00:00] ALERT for batch_id=64: Tomato batch #64: Low risk (0.0/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T17:09:57.633192+00:00] ALERT for batch_id=63: Mango batch #63: High risk (92.1/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T17:09:57.738029+00:00] ALERT for batch_id=62: Mango batch #62: High risk (92.1/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
[2026-08-21T17:09:57.948327+00:00] ALERT for batch_id=60: Onion batch #60: Low risk (14.7/100). Recommended: Nashik Cold Storage Hub (25.9 km, Rs 19.81/kg).
[2026-08-21T17:09:58.023079+00:00] ALERT for batch_id=61: Mango batch #61: High risk (92.1/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 33.93/kg).
